player,team,status,severity,expected_return,source_index,source_title,confidence,source_link,recorded_at
Yahya,Iraq,OUT,moderate,,5,Makenzie replaces injured Yahya in Iraq's World Cup squad - Reuters,0.87,https://news.google.com/rss/articles/CBMipgFBVV95cUxOcnNwRlMzM28wekUtbzFRWlZxN2llNWg1dDBNWjhOMkNwakpGU1ZfcmotdXZndEtibDE5WDJmNEw3b2VkQ3Mxd05jeF85QmtSMjNhMkU0YXlrRFprYzZEbWN1aExIc0hYYWNzRVVmXzJZemRyY1dCUmh1Y1FCY2VhQXExQXpydDg3WWZBREx6R2NYWFRQeGtaNy1GakwxUDFYeGN1OUN3?oc=5,2026-06-10T21:07:02.626672
Antonee Robinson,United States,RETURNED,minor,,21,"USMNT vs. Paraguay injury news: Richards, Robinson in full training in World Cup boost to U.S. - The Athletic - The New York Times",0.82,https://news.google.com/rss/articles/CBMiswFBVV95cUxPMWh3eUlKRl9yU0hyZHF4bnVpVnhQRTdnNTRXRDBhMmRFaEhrSXlQXy1LZS02X3dIM1BxaC1Fb1p3QXZSbkNDdXJiT1lMd2w2cnB6S0ZXcnJGZnNVeWVIa3U1Wmo5MXVuUjY4bWlRdzZLa2FaSzZZaHhkUEVoVEZsS0NkS050cVpBMGxnRXNFaHdaM1J4MnphdVVIenRZdG5VdldZZnFncV9Nd0FFY0hIRWhBbw?oc=5,2026-06-10T21:07:02.626672
Cho Yu-min,South Korea,OUT,serious,,2,[Reuters] South Korea defender Cho ruled out of World Cup - Reuters,0.95,https://news.google.com/rss/articles/CBMimgFBVV95cUxNMVltaC0yOXlOQ2tyQUJrYkN4T2VBcng1bVBib2g2Y1FpMnhIQjd0UnhObUpMSHZmU3pwWWhuYlpBblRnTXBib3VuV0UtVXZVTjlFbElhWEZpUEVBeU9Kb0w1YzhoTWdaRWpDY2hhY0djSXBMYmw0UjY3bDVzaXpnMUhqWmhfMnVaaVVuckZ1NUVKNElsQk9FWVJR?oc=5,2026-06-10T21:07:02.626672
Jonathan Bombito,Canada,DOUBT,moderate,,2,[CityNews Montreal] Canada coach Marsch keeps injured defender Bombito on World Cup squad - CityNews Montreal,0.85,https://news.google.com/rss/articles/CBMirwFBVV95cUxOc1ZfQWZfVE14cGNNSldhZjA1S3phVlZWTmh1RU9BR1k4OS04dmZjcHlwLU1DQ2N1eVFlYmZtbjJjbVBpVkk3VkRoUHRGWnI2RXY3eE5zMFpNYmxCZWllWXdGWVU2Sk5EZDROLWdtVnozbEF4OTRNRVpoY29OcXdEM21MZi0zRmhrak1DTm5DSGVRS2puQlhHV3otTWhna25yc0Z6QU1fUV95dUMwZHJF?oc=5,2026-06-12T08:32:43.649422
Moise Bombito,Canada,DOUBT,moderate,,33,What Moise Bombito's injury means for Canada at the World Cup - DAZN,0.88,https://news.google.com/rss/articles/CBMizAFBVV95cUxNX21kV0IzaUUtS2w4aTJxU2U4NjlFTkkwQzdTQWNHN2pzeHlTTVliMkFmM1NmV0RuaFNFSmZ6SDJ2dTAyeHBvMGplS1hQcEdFcXJxSTlnZVFVQW9IakR5aUZiODQ0aVJnUkQ3cmgwUmtlZkRLMGl6V0wwX2JfLUNCWlZKTTBXbENWYzJMeHRSMkNCdVAtUVd6b25jQjduaFlwbDJEN01aQ1RlWGNGNUxwbGRVOTF5c2RqeHNRWnNOaXlVbUh5UTVHR3pYZjc?oc=5,2026-06-12T08:32:43.649422
Jude Pierre,Haiti,OUT,moderate,,24,Haiti midfielder Pierre out of World Cup with adductor injury - Reuters,0.97,https://news.google.com/rss/articles/CBMirAFBVV95cUxQcFpfTzlVTzNsV2xFVHF0OHRSNWRkT3Ffd09rV005enRKTFZLSDdMeWlBYVdSU3hSeUstbmpfdjM4TDVSb1lxTXZVSGJodTdMVzhmbkZiOGtNcXJDOHozeHZNdURhT3dKRmVxYkZxY2t2WlBVLXF2ZGRrM1hyUmNLZ3RYRnVSdTd0aksxSUU3WjNYM09rZnlQZFVGWmZJWDdLdExTeUtvX1d4REQ5?oc=5,2026-06-12T08:32:43.649422
Mo Touré,Australia,DOUBT,minor,,14,Striker Mo Touré sends injury scare through Socceroos camp on eve of World Cup - The Guardian,0.9,https://news.google.com/rss/articles/CBMinwFBVV95cUxOWlhfNC04VDhUV2poOTVNeml6U015UXVNWVVGeTk0cXY5N3dUUC14RGtFT2pqVHF2M2NteU9PbkVzRFExRDdvNWpOX0lVc2pQVnNEQll0R215STdvQjhpOEhiYmZGNk5HWkZXOU1TTXJtemlma2NOVWNUSHlxVUM2OVMtc3VydldJempiM2JfT2dUMGFFak5GenhwYXJWdXc?oc=5,2026-06-12T08:32:43.649422
Nicolás Tagliafico,Argentina,DOUBT,moderate,,5,[World Soccer Talk] Argentina on alert as two players face injury doubts ahead of the World Cup: What happened to Tagliafico an... - World Soccer Talk,0.82,https://news.google.com/rss/articles/CBMi8gFBVV95cUxPa1lvaXY2aDV4eFlsbmJaRVZoYnZjM1I4NGxRZjkwcm81QllrWWxDVXR2WUFkb0YzX2g0RmxzODdjQXZZUjZjS1g3SzNlWEhZY0pnMDFpM1Rpa19EVW44VnlhZXJPLV84bFdfWHRQVVJLOHdNanRhMXdWZnlwV1dwV2Z1aWcxUWktS25Jb2JtdEJxNUROOF9sX0dwYVBDT0tZTUpod0phRUtNVV8yUXNZdkdQT285Z0pZenNQWHBBeGQzc2ZNaXpuNG1HYjhENmdxcng3VlBMM2pGVzhyWmptMXVOZ1lrakNWZkkzYlJ5RG5VQdIB9gFBVV95cUxPaDlHQVVhRlVSb3FHcVVRR016VGZsdkZkZmxqYm9WWWdKMlZOUUNFTjhpcGJ4OUZXaWFjVDNaRmxFanMzbEllX1NFbUZkLXNIX2VxS3l5cFo2NVRUMVJKbnpCMkZJTTQ4NFVXbHJ0TC1zUzJEXzY3c0p1c1prWDk4SF9pSHJxSk1leklrYXhJbldsN1QtQ1A2aXd3Rnd4VDZzYXJycVFkaDUzVFFlSUU5SkN2SzdNOGVCTWRLVHBtMHNqeEdLdno1R0VEd2RXMkt6bllJQ0hjYkFEYmFuR1huM2tSejVTNDltaTk4ZDZFWFRCOXlVVVE?oc=5,2026-06-12T08:32:43.649422
Christoph Baumgartner,Austria,OUT,moderate,,33,Christoph Baumgartner ruled out of World Cup with Austria - Yahoo Sports Canada,0.95,https://news.google.com/rss/articles/CBMijgFBVV95cUxPZ25QYmZiVXZGbGVhX1EyX0JBd3AyaXNNYzBKMWxVc2hpRWpadnlocDZvbEIybDA5c01zczNraVBwRzEtU3NmQUhoeUhZVlN2Y1dpSWFNbTdfTGlXU3ZXZHRDSkJXX2RqWXBodjRfckF3TnoxLUwzUW5DNUlzMU9xT29VX0NQajJMT0luV2xR?oc=5,2026-06-12T08:32:43.649422
Abdessamad Ezzalzouli,Morocco,OUT,serious,,30,[MassLive] Morocco loses star winger to injury ahead of World Cup appearance in Foxborough - MassLive,0.92,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQQy1EbGRnUTk3ZTN3UmVjZXZVY29veTZFbGVZRTFHMXZ1cjN6NzRxVDFycElaX2E3Vm5JTUdfekJtaVAyVno1eUQ0bmZiUGNBTWx4NEg0eWlVQWxMbDlheE9welBacVJBbU9RX3FnNXE3dUVwSjJKM2JmbzY4UnhmZ0FORk9vRW92TDZkRDY2eUc1a3Q4UG15cFl3ZEFUQjVUcnRWeXZBeUJKWEdUR0FhT3VJOVQ0VjMtc2hzYlZFWVFqUQ?oc=5,2026-06-12T08:32:43.649422
Nico Williams,Spain,RETURNED,minor,,8,"Yamal, Williams return to training in World Cup boost for Spain - ESPN",0.93,https://news.google.com/rss/articles/CBMipAFBVV95cUxPV1VSVEpBdVNjbjZNM3VkSUp5ZzhCdEpDWUM1NTNLN0hJWnVWM0dBVmprVEdUbTNLcmVBWlNabWFqSExza3BxcF9HUkNDem0zalY5LS1pclgwQkVMX0RLSGZUZFJMdll3X05jTll3Nm4zd2tBVVRnQ2pTdXhobWJicjlrVThSbC1rOWY5aWRxTFFCNGxWN2ZyQ2J3N0wyZ1JwZGhRWQ?oc=5,2026-06-12T08:32:43.649422
Jules Koundé,France,DOUBT,moderate,,31,Barcelona's Jules Kounde suffers injury ahead of start of World Cup 2026 - Barca Blaugranes,0.85,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNVzFPUlEwUWw1d0dsTFl3SmJJUXlHbWtMcFcxM256ZmJrbk5mX0RKUVNDM1NTVzI3aVhkdENYNWN4VzA0OHBxTjRqQTZWQl9GT0JZZWxhamo4cHJvVkhlZXNyR0d4TkVLdUwzNjZtNzhxUlFPYlQxOGRBVHJDczh4SnV3NFEwc282WnM3dGlQVEhMVUdLQzIzV0lJWm40cHo1RTMzMFNxMTdRb3IwSHY5TnFMbmg1am5CZ21xTlpnUW5Cd2xRczEyY1FCQ2V6VVdq?oc=5,2026-06-12T08:32:43.649422
Samir Sabra,Jordan,OUT,serious,,22,Jordan's Sabra ruled out of World Cup with ankle injury - Reuters,0.92,https://news.google.com/rss/articles/CBMiowFBVV95cUxOMXYzcUhJZ010MUpSSDhDblFOSWVORXBEb002cm5Hbm91MW1DM3JVRWotdTN5eGJJeHdFdkhqOU1LRWVPWkFjUXNiOUJ4NU9HT1hQWjhnMmp0Q19rRGloaUhNOWZ6X2xLTVlUSmNyQ0QyaEozeUgwWi1SU3RVZHhWZzgwWUJOZ0NBYTQ3cHNaa0R2MV9Ud01EdTh1ejBldlF5LW40?oc=5,2026-06-13T06:31:50.486653
Matthijs de Ligt,Netherlands,OUT,serious,,37,Netherlands suffer tough blow as Matthijs de Ligt ruled out of 2026 FIFA World Cup - MSN,0.92,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNVUJqbnpqOWhOOUstZkJMZVZkVjNSOW1yWG5wV1ZHYkFOLUdha2t1STdiWnBySlNLVWE5bldxcDE3dlVSVURJbUhFaHJUSVE2eklIVWp3QmtaOFNqOUVRM25nUFFzSWpCN1F1bE5RYjZ0NFg2SW1LYTRXQXkzbDhsQzJUU1p5V0dKTFNjaGdFZmpfcTVkMUtEdlZYRXp1ZWtxVHVGRVRkZUYxb3FLUDNzUnFQRXF0TjZzcjJPd3VIRWZSeHh6eHVWemZJZFRMSXZJamxvM2ZQbk1jQXo2Mjg3TDRrMldVMTFLMWc?oc=5,2026-06-13T06:31:50.486653
Nicolas Gonzalez,Argentina,DOUBT,moderate,,4,Argentina on alert as two players face injury doubts ahead of the World Cup: What happened to Tagliafico and Nico Gonzalez? - World Soccer Talk,0.75,https://news.google.com/rss/articles/CBMi8gFBVV95cUxPa1lvaXY2aDV4eFlsbmJaRVZoYnZjM1I4NGxRZjkwcm81QllrWWxDVXR2WUFkb0YzX2g0RmxzODdjQXZZUjZjS1g3SzNlWEhZY0pnMDFpM1Rpa19EVW44VnlhZXJPLV84bFdfWHRQVVJLOHdNanRhMXdWZnlwV1dwV2Z1aWcxUWktS25Jb2JtdEJxNUROOF9sX0dwYVBDT0tZTUpod0phRUtNVV8yUXNZdkdQT285Z0pZenNQWHBBeGQzc2ZNaXpuNG1HYjhENmdxcng3VlBMM2pGVzhyWmptMXVOZ1lrakNWZkkzYlJ5RG5VQQ?oc=5,2026-06-13T06:31:50.486653
Amine Ez Abde,Morocco,DOUBT,moderate,,36,World Cup 2026: Morocco faces unucertainty over Ez Abde - Africa Top Sports,0.8,https://news.google.com/rss/articles/CBMijwFBVV95cUxOWUFCQmU5WHBsMzlaOGc3OHFObkJkRXd1RF8zck1wbXFldXJSRHhMRk81eW5DdXZnbVJ1MC01RG5BN1dmX1ZYcEFMOWJvLUUxV2hQUDJRYTlFbWlZZWdPbm1HV2hYWWo1Q2xVNEFtRFVHb1ZjeGRMaEpQaGZxX1ZacFJJT21mcy1WUFZwSThydw?oc=5,2026-06-13T06:31:50.486653
Wesley,Brazil,OUT,serious,,22,Wesley Suffers Injury as Brazil Names Replacement for FIFA World Cup Squad - beIN SPORTS,0.93,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPdjIybXlZQXhreVo0cUZ6UmhDT2k2Vk1pQ29qWWhvVUZIcHk2YURNa3FVZlluTG5FYlpZbjc4WkViajUtcWJSUnduSEZ6S3FwZUxLSDJDLTdJU044TmNnZXdURHh1Tld4UUJmSHN4N0JkNDB3S3dsVWxheVJsTHFod2UycHhOSk5OWXNuTlR0OWtjSVo5OXRiOXBaVzZCUjdRdjJ0c2VfRFhfTzVJRDJIZFRhYV95bUh2NXNRY3o4MFVlMzBZNEZtOG1nb0tWMXo1WnlvaTNOcnE5dGtPOFptYjZCY0ZHSFhXQkE?oc=5,2026-06-13T06:31:50.486653
Alessandro Circati,Australia,DOUBT,serious,,28,Alessandro Circati prepares for World Cup challenge with Socceroos after ACL setback - Crypto Briefing,0.78,https://news.google.com/rss/articles/CBMibEFVX3lxTFBmX2lUc2R0dXp4RURfZEFMcm5EYm1nOHRPSEtUbHpQZ1AyVmkySmdsY25nQXpuUDlENDMxMUp4SGliNEtWZEdCTHRmRnFGRVBiTHVkbENXUUpCY2VsaXZkanEzaDBKcFY1d2ZCRg?oc=5,2026-06-13T06:31:50.486653
Nicolas Tagliafico,Argentina,DOUBT,moderate,,4,Argentina on alert as two players face injury doubts ahead of the World Cup: What happened to Tagliafico and Nico Gonzalez? - World Soccer Talk,0.75,https://news.google.com/rss/articles/CBMi8gFBVV95cUxPa1lvaXY2aDV4eFlsbmJaRVZoYnZjM1I4NGxRZjkwcm81QllrWWxDVXR2WUFkb0YzX2g0RmxzODdjQXZZUjZjS1g3SzNlWEhZY0pnMDFpM1Rpa19EVW44VnlhZXJPLV84bFdfWHRQVVJLOHdNanRhMXdWZnlwV1dwV2Z1aWcxUWktS25Jb2JtdEJxNUROOF9sX0dwYVBDT0tZTUpod0phRUtNVV8yUXNZdkdQT285Z0pZenNQWHBBeGQzc2ZNaXpuNG1HYjhENmdxcng3VlBMM2pGVzhyWmptMXVOZ1lrakNWZkkzYlJ5RG5VQQ?oc=5,2026-06-13T06:31:50.486653
Marcelo Flores,Canada,OUT,serious,,30,Canadian midfielder Marcelo Flores to miss World Cup following ACL rupture - northeastNOW,0.97,https://news.google.com/rss/articles/CBMisAFBVV95cUxQME5rVVhZNm9qUERVcGFoYjFVc2ExbG5xQWxSOGs4b3FJS3BMaWtHWXNMNXRheWtHRkVFMVQyNGMzMko4aFhGVnhwZXVzMnU1RUxRb2luTnhCNmJ4Yk15b1liZ3JjNi1MU1FZSWZwSFRFbVpPdURZTlllWTd1YkZTNHctSEhpUzQxd3BjcnVnSjhyMHRZa09UV0VwM3pmWkxFdEI5cGJzTG1vLUQ5OThkZA?oc=5,2026-06-13T06:31:50.486653
Marc Guehi,England,DOUBT,moderate,,3,World Cup 2026: England's Marc Guehi injury doubt - BBC,0.85,https://news.google.com/rss/articles/CBMiZ0FVX3lxTFB1bTVLNXlkR3pUZmhlNjJuUjZFRFlZOWVkbzVZMVB5a2V2VUFkQ2dBRjEwSlRzV1EwdUoyazJpV1cwVTJwcWJsLXBPOGxaX2tSRHA3R3E0b242TFpMZ204ZjR1ZTBLMTA?oc=5,2026-06-13T06:31:50.486653
Lisandro Martinez,Argentina,RETURNED,moderate,,20,Lisandro Martinez named in Argentina's 2026 World Cup squad after injury comeback - Crypto Briefing,0.82,https://news.google.com/rss/articles/CBMiekFVX3lxTE1reUZRNmU3VF9Pdi1OT1ZQWTdWTk5XWEtUWFhzc0twQmVhYmwyWkNhN0NURWJVTzI3LTNzTW15X2JCcEFQYmdoR2tYSGxycVpUQlFoa3JEQXhjSEI3eGxwLXF5Wk1FWVcxOHI2ajJJbUU3U0plWEdNUE9B?oc=5,2026-06-13T06:31:50.486653
Leonardo Balerdi,Argentina,OUT,serious,,27,Argentina call up Senesi for World Cup after Balerdi injury - Reuters,0.92,https://news.google.com/rss/articles/CBMiqAFBVV95cUxONzVJOTFwNmNOc3dja3lYdWt6aUtDQ1VkRGRMcFFrQUJWalZOanlRWUxSVDFUT0RENldqRG5QNEpNTVV4UHkyQmllWVNpcFVzTTNmaDI0SWlEc084MFpQRGdJdGk2UVJaTzBoUkJmWVM2elBRMzBRbzdnaDhOR1N5Q2pTX29ncWRVZl96dlpFY0tKZWFkdU0tcHgySHQ0bjQ4THFhbG83a3g?oc=5,2026-06-13T06:31:50.486653
Achraf Hakimi,Morocco,DOUBT,minor,,38,"Morocco Injury Report vs. Brazil Today: Ezzalzouli, Mazraoui, Aguerd Updates - PrizePicks",0.75,https://news.google.com/rss/articles/CBMiswFBVV95cUxOd0dwOHM4QzNibUVxQTRBanVqTkJkaEZTbWZCX0QzWV9wLWdrX0N2ZVl6OEZKRTM1OVBSOHdrM204R2dZSEtxY3dqTl94ZWNLSElmQzZOUUdQNWg1Nk11TFhKM2lzQW9zUkRYNzM5UnNBbVBpa3JIa3Flcnl3QjBEamxMYjQ4ZWFGMWNFUmcwd1ZyUTJWcERZekZqWkk3czJOdTBYUlNhZ3E5Vm4xd1pXSTQ3UQ?oc=5,2026-06-14T09:31:26.571155
Estevao Willian,Brazil,OUT,moderate,,8,Why is Estevao not participating at the 2026 World Cup with Brazil? - bolavip.com,0.8,https://news.google.com/rss/articles/CBMioAFBVV95cUxPRkdfVDVvQUUwWEZxQmI2bzBWRW1Oang0Y2NqaUY2dWdjazlDWHBUS042cFE2cFJwanhQaDRNQ0dURGdwWnFmUVV5aXFDOTZwMU4ydWd0dkc3NExuUkFVbkJqaWRPTUVnbDRfYXZ2WVJ4Y0VBenlZZDlhcUQxY2VYV2RrWDluOVdIdTRBVlN6c1BNb1FCWjhWdl9kRHc3YkxY0gGmAUFVX3lxTE9RWHhHQnY5ZWdsbTJMSEJYUm1YRU14cFlRZWFheGdQNHZEYkJFekRCVzJlT29NN1hwd1Jud3E5Qi1HWmpIYjl6N2RnTVpPNE4xQ3JCdUdRWmc0LUNfMU95SklmX0hkX20yZVpUbEE4eUE2REVVUHVrYkt6b3VLazBfakpLQ0dSTzZJaHFvUFEtSzdCWUlJdUc4V1ZZb2FhUi1odWp3c3c?oc=5,2026-06-14T09:31:26.571155
William Saliba,France,DOUBT,moderate,,29,William Saliba injury latest as Arsenal star's World Cup dream in doubt - Football London,0.85,https://news.google.com/rss/articles/CBMikAFBVV95cUxPdHhnVXJqWlJ2MjVtcDJMb3gxSFVueXpZRkhmS2NmOWc0VXhlWFJFQUV2TlQtWHZTazRhcE5xcjdpOExjUU9WeGZ6c3RGS3p2UE16TzVWYmI2RENBR0VaOExGQ0JjRFNJNnpiWFFzazBDNm4xbTVXblppVEt3aF8wWGpmMnE0Mk5kUks5WktBRjbSAZYBQVVfeXFMUGJ0WW1YOFptcFZ2VnJSb2FwTGE4aTd2WmlCYldIX01sVWUyLVc0TVdwNUJFTFdGVjJsX3o1dWRUN2pSVFltRXFOaGNSWGhXdW9wcTk2dGQzemJDdkpKbFFWeTI2Qm4tOGFOMzRNaVJWVFFfZWl5LVhNN1pCOHZuTUxzbGl2Nlk3bHZqYXJGVzltQmhXVDNR?oc=5,2026-06-14T09:31:26.571155
Abde Ezzalzouli,Morocco,OUT,serious,,38,"Morocco Injury Report vs. Brazil Today: Ezzalzouli, Mazraoui, Aguerd Updates - PrizePicks",0.88,https://news.google.com/rss/articles/CBMiswFBVV95cUxOd0dwOHM4QzNibUVxQTRBanVqTkJkaEZTbWZCX0QzWV9wLWdrX0N2ZVl6OEZKRTM1OVBSOHdrM204R2dZSEtxY3dqTl94ZWNLSElmQzZOUUdQNWg1Nk11TFhKM2lzQW9zUkRYNzM5UnNBbVBpa3JIa3Flcnl3QjBEamxMYjQ4ZWFGMWNFUmcwd1ZyUTJWcERZekZqWkk3czJOdTBYUlNhZ3E5Vm4xd1pXSTQ3UQ?oc=5,2026-06-14T09:31:26.571155
Nayef Aguerd,Morocco,DOUBT,moderate,,38,"Morocco Injury Report vs. Brazil Today: Ezzalzouli, Mazraoui, Aguerd Updates - PrizePicks",0.75,https://news.google.com/rss/articles/CBMiswFBVV95cUxOd0dwOHM4QzNibUVxQTRBanVqTkJkaEZTbWZCX0QzWV9wLWdrX0N2ZVl6OEZKRTM1OVBSOHdrM204R2dZSEtxY3dqTl94ZWNLSElmQzZOUUdQNWg1Nk11TFhKM2lzQW9zUkRYNzM5UnNBbVBpa3JIa3Flcnl3QjBEamxMYjQ4ZWFGMWNFUmcwd1ZyUTJWcERZekZqWkk3czJOdTBYUlNhZ3E5Vm4xd1pXSTQ3UQ?oc=5,2026-06-14T09:31:26.571155
